id,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,name
254,2013,1,1,1056.0,1059,-3.0,1203.0,1209,-6.0,EV,4479,N11544,EWR,PWM,51.0,284,10,59,2013-01-01 10:00:00,ExpressJet Airlines Inc.
329,2013,1,1,1240.0,1245,-5.0,1554.0,1600,-6.0,AA,2253,N3BUAA,LGA,MIA,156.0,1096,12,45,2013-01-01 12:00:00,American Airlines Inc.
346,2013,1,1,1258.0,1308,-10.0,1532.0,1537,-5.0,FL,348,N717JL,LGA,ATL,128.0,762,13,8,2013-01-01 13:00:00,AirTran Airways Corporation
551,2013,1,1,1632.0,1635,-3.0,1903.0,1840,23.0,WN,190,N258WN,LGA,STL,181.0,888,16,35,2013-01-01 16:00:00,Southwest Airlines Co.
701,2013,1,1,1909.0,1910,-1.0,2212.0,2224,-12.0,DL,1629,N6710E,JFK,LAS,323.0,2248,19,10,2013-01-01 19:00:00,Delta Air Lines Inc.
718,2013,1,1,1928.0,1930,-2.0,2117.0,2135,-18.0,9E,4261,N8611A,JFK,RDU,75.0,427,19,30,2013-01-01 19:00:00,Endeavor Air Inc.
774,2013,1,1,2035.0,2030,5.0,2337.0,5,-28.0,UA,1482,N38268,EWR,LAX,333.0,2454,20,30,2013-01-01 20:00:00,United Air Lines Inc.
1109,2013,1,2,952.0,953,-1.0,1104.0,1110,-6.0,B6,600,N353JB,JFK,PWM,47.0,273,9,53,2013-01-02 09:00:00,JetBlue Airways
1285,2013,1,2,1339.0,1335,4.0,1643.0,1631,12.0,B6,431,N613JB,LGA,SRQ,167.0,1047,13,35,2013-01-02 13:00:00,JetBlue Airways
1563,2013,1,2,1806.0,1801,5.0,2140.0,2137,3.0,UA,1209,N12116,EWR,LAX,341.0,2454,18,1,2013-01-02 18:00:00,United Air Lines Inc.
1810,2013,1,3,600.0,600,0.0,843.0,815,28.0,FL,345,N936AT,LGA,ATL,135.0,762,6,0,2013-01-03 06:00:00,AirTran Airways Corporation
1855,2013,1,3,644.0,645,-1.0,948.0,935,13.0,B6,389,N760JB,LGA,MCO,154.0,950,6,45,2013-01-03 06:00:00,JetBlue Airways
2109,2013,1,3,1126.0,1127,-1.0,1330.0,1353,-23.0,UA,1277,N73251,EWR,DEN,219.0,1605,11,27,2013-01-03 11:00:00,United Air Lines Inc.
2376,2013,1,3,1633.0,1620,13.0,1920.0,1914,6.0,UA,559,N473UA,EWR,MCO,151.0,937,16,20,2013-01-03 16:00:00,United Air Lines Inc.
2695,2013,1,3,1341.8229492227138,1220,-2.0,1520.1147660818713,1415,-4.0,AA,1757,N573AA,LGA,STL,135.0,888,12,20,2013-01-03 12:00:00,American Airlines Inc.
